epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.664,1.56311,3.30904,1.59548,0.59536,0.59467,0.58379,0.32265,1.60022,1.80801,1.54166,0.00332929,0.00332929,0.00332929
2,454.752,1.47204,2.17421,1.4372,0.58372,0.57873,0.5716,0.3054,1.67234,2.00356,1.61952,0.00653071,0.00653071,0.00653071
3,676.036,1.51167,1.86952,1.46365,0.62072,0.53677,0.56848,0.2982,1.70939,1.83759,1.63543,0.00960012,0.00960012,0.00960012
4,894.998,1.52415,1.67701,1.4843,0.64415,0.55656,0.6089,0.33152,1.6456,1.56787,1.58627,0.009406,0.009406,0.009406
5,1113.89,1.46631,1.49051,1.44405,0.66585,0.71418,0.72064,0.39933,1.62832,1.30947,1.56544,0.009208,0.009208,0.009208
6,1333.87,1.42582,1.37476,1.41328,0.69036,0.70852,0.73355,0.43467,1.45827,1.24796,1.46465,0.00901,0.00901,0.00901
7,1555.13,1.38015,1.29344,1.38602,0.73747,0.73017,0.75691,0.44739,1.49457,1.21045,1.46424,0.008812,0.008812,0.008812
8,1776.19,1.34901,1.21432,1.36053,0.75361,0.73692,0.77954,0.45406,1.48174,1.15811,1.44817,0.008614,0.008614,0.008614
9,1995.86,1.3365,1.18943,1.35832,0.75741,0.74534,0.79512,0.46526,1.42801,1.11644,1.41862,0.008416,0.008416,0.008416
10,2213.33,1.31241,1.14,1.33635,0.80192,0.71245,0.79925,0.47812,1.43839,1.10526,1.40968,0.008218,0.008218,0.008218
11,2433.23,1.29224,1.11293,1.32077,0.78076,0.774,0.7993,0.49056,1.36751,1.04825,1.38738,0.00802,0.00802,0.00802
12,2654.88,1.27211,1.07685,1.31241,0.78114,0.78214,0.81498,0.51038,1.35646,1.00213,1.37077,0.007822,0.007822,0.007822
13,2874.42,1.25591,1.04133,1.30046,0.77689,0.77416,0.80883,0.50194,1.39009,1.00555,1.38468,0.007624,0.007624,0.007624
14,3093.24,1.24696,1.02647,1.28388,0.79921,0.80212,0.83209,0.52243,1.35352,0.96034,1.35671,0.007426,0.007426,0.007426
15,3313.14,1.23554,1.01038,1.28655,0.80024,0.7836,0.82647,0.52687,1.33383,0.9731,1.35202,0.007228,0.007228,0.007228
16,3531.49,1.21451,0.97845,1.27235,0.79277,0.80826,0.83673,0.53051,1.31923,0.94952,1.35321,0.00703,0.00703,0.00703
17,3749.06,1.20679,0.95839,1.26581,0.83514,0.79529,0.84712,0.53585,1.33605,0.90945,1.3343,0.006832,0.006832,0.006832
18,3967.83,1.19739,0.94878,1.26052,0.80398,0.80326,0.83631,0.53279,1.31053,0.9105,1.34309,0.006634,0.006634,0.006634
19,4188.2,1.18478,0.9342,1.25233,0.81544,0.79966,0.84606,0.54007,1.30295,0.90209,1.33486,0.006436,0.006436,0.006436
20,4405.46,1.17057,0.9112,1.24607,0.83658,0.80514,0.83963,0.53312,1.31467,0.90081,1.33935,0.006238,0.006238,0.006238
21,4624.02,1.15911,0.90154,1.23803,0.82726,0.80499,0.85124,0.55318,1.29443,0.86031,1.3268,0.00604,0.00604,0.00604
22,4842.74,1.15453,0.88665,1.23793,0.80817,0.82603,0.84415,0.54967,1.28091,0.89842,1.31222,0.005842,0.005842,0.005842
23,5061.4,1.14323,0.86629,1.22138,0.83533,0.80638,0.85157,0.55349,1.28898,0.84747,1.31412,0.005644,0.005644,0.005644
24,5278.03,1.14598,0.86135,1.22407,0.83709,0.82888,0.86847,0.56741,1.27529,0.83072,1.31369,0.005446,0.005446,0.005446
25,5495.6,1.13359,0.84497,1.21766,0.83454,0.8243,0.86265,0.56244,1.28188,0.83775,1.30894,0.005248,0.005248,0.005248
26,5710.26,1.12441,0.83818,1.21287,0.81056,0.83529,0.85491,0.55436,1.29995,0.83565,1.3154,0.00505,0.00505,0.00505
27,5925.1,1.1068,0.8128,1.19986,0.83157,0.82274,0.85369,0.55465,1.30496,0.8482,1.33196,0.004852,0.004852,0.004852
28,6141.7,1.11769,0.82283,1.21086,0.82285,0.82357,0.85722,0.56495,1.28427,0.8234,1.31572,0.004654,0.004654,0.004654
29,6356.64,1.10791,0.80979,1.20081,0.85171,0.81794,0.86045,0.56696,1.26976,0.82171,1.29905,0.004456,0.004456,0.004456
30,6571.63,1.09661,0.79718,1.19573,0.85188,0.81752,0.86501,0.56793,1.27845,0.80341,1.3039,0.004258,0.004258,0.004258
31,6785.68,1.0779,0.77141,1.18629,0.82776,0.82605,0.86456,0.56808,1.28573,0.79731,1.31108,0.00406,0.00406,0.00406
32,7001.89,1.07864,0.76339,1.18598,0.82912,0.8448,0.86906,0.5725,1.27904,0.78926,1.31381,0.003862,0.003862,0.003862
33,7218.31,1.06632,0.75849,1.18046,0.85941,0.836,0.86936,0.57206,1.27591,0.78794,1.30743,0.003664,0.003664,0.003664
34,7438.81,1.05439,0.74319,1.17357,0.84029,0.83799,0.86387,0.57304,1.2715,0.78971,1.29961,0.003466,0.003466,0.003466
35,7659.09,1.05207,0.74023,1.17014,0.84322,0.84858,0.86994,0.57671,1.27166,0.77372,1.29323,0.003268,0.003268,0.003268
36,7881.67,1.0437,0.73319,1.16539,0.83104,0.83827,0.86349,0.57198,1.27762,0.77598,1.30443,0.00307,0.00307,0.00307
37,8101.02,1.04056,0.71616,1.16408,0.8576,0.82886,0.86321,0.57035,1.28873,0.78013,1.32241,0.002872,0.002872,0.002872
38,8320.29,1.02692,0.70515,1.15724,0.85009,0.83047,0.86508,0.57495,1.27442,0.76664,1.31324,0.002674,0.002674,0.002674
39,8537.79,1.02096,0.7004,1.15018,0.8475,0.84378,0.86962,0.578,1.27143,0.7706,1.3022,0.002476,0.002476,0.002476
40,8756.55,1.01908,0.69717,1.14819,0.8544,0.84047,0.86672,0.57294,1.27782,0.76853,1.30734,0.002278,0.002278,0.002278
41,8968.68,0.99089,0.59569,1.1671,0.84574,0.84936,0.86781,0.57644,1.26982,0.76996,1.30354,0.00208,0.00208,0.00208
42,9175.6,0.9736,0.57034,1.14791,0.84692,0.85551,0.86817,0.57534,1.27456,0.76523,1.30576,0.001882,0.001882,0.001882
43,9384.65,0.95896,0.55801,1.13836,0.86034,0.844,0.86587,0.57836,1.27951,0.76539,1.31455,0.001684,0.001684,0.001684
44,9592.36,0.94836,0.54928,1.13299,0.84963,0.84889,0.86543,0.57682,1.28533,0.76625,1.323,0.001486,0.001486,0.001486
45,9799.81,0.93359,0.53742,1.12491,0.84256,0.8435,0.86736,0.57831,1.28303,0.76611,1.31945,0.001288,0.001288,0.001288
46,10010,0.92234,0.52582,1.12005,0.85201,0.83811,0.86664,0.57845,1.28305,0.76891,1.32012,0.00109,0.00109,0.00109
47,10215.2,0.90687,0.51496,1.10837,0.84819,0.84276,0.86912,0.57835,1.29253,0.77089,1.32708,0.000892,0.000892,0.000892
48,10421.6,0.89783,0.5108,1.1046,0.82756,0.86021,0.8661,0.57532,1.29389,0.77073,1.33434,0.000694,0.000694,0.000694
49,10628.2,0.88754,0.49864,1.09574,0.85176,0.83557,0.86638,0.57615,1.29745,0.76937,1.33996,0.000496,0.000496,0.000496
50,10835.1,0.87676,0.49293,1.08921,0.85126,0.84317,0.86623,0.57575,1.29962,0.76755,1.33992,0.000298,0.000298,0.000298
